"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-11-25";"3744.47000";"3767.92000";"3727.80000";"3733.16000";"0"
"3830";"2003-11-26";"3731.29000";"3786.37000";"3712.98000";"3712.98000";"0"
"3830";"2003-11-27";"3741.63000";"3756.11000";"3729.18000";"3744.99000";"0"
"3830";"2003-11-28";"3748.23000";"3771.10000";"3692.01000";"3745.95000";"0"
"3830";"2003-12-01";"3752.72000";"3829.46000";"3752.72000";"3821.20000";"0"
"3830";"2003-12-02";"3821.64000";"3838.09000";"3788.93000";"3809.26000";"0"
"3830";"2003-12-03";"3808.30000";"3875.66000";"3801.76000";"3875.56000";"0"
"3830";"2003-12-04";"3871.50000";"3894.82000";"3848.02000";"3874.78000";"0"
"3830";"2003-12-05";"3856.48000";"3874.55000";"3813.60000";"3841.73000";"0"
"3830";"2003-12-08";"3834.89000";"3834.89000";"3778.73000";"3806.54000";"0"
"3830";"2003-12-09";"3812.92000";"3878.45000";"3812.92000";"3846.18000";"0"
"3830";"2003-12-10";"3841.87000";"3847.93000";"3798.00000";"3820.92000";"0"
"3830";"2003-12-11";"3833.22000";"3864.34000";"3826.93000";"3858.85000";"0"
"3830";"2003-12-12";"3864.59000";"3904.43000";"3847.63000";"3860.13000";"0"
"3830";"2004-01-16";"4090.80000";"4122.93000";"4090.80000";"4111.64000";"0"
"3830";"2004-02-25";"3993.30000";"4008.03000";"3960.41000";"3995.34000";"0"
"3830";"2004-03-15";"3908.61000";"3909.87000";"3807.94000";"3810.76000";"0"
"3830";"2004-04-07";"4023.71000";"4048.61000";"4000.44000";"4001.16000";"0"
"3830";"2004-04-08";"4030.56000";"4058.29000";"4004.57000";"4013.53000";"0"
"3830";"2004-04-13";"4016.09000";"4094.23000";"4016.09000";"4071.42000";"0"
"3830";"2004-04-14";"4058.91000";"4058.91000";"3970.02000";"4012.77000";"0"
"3830";"2004-04-15";"4011.27000";"4034.32000";"3989.21000";"4004.61000";"0"
"3830";"2004-04-16";"4004.61000";"4043.53000";"3986.62000";"4033.98000";"0"
"3830";"2004-04-19";"4033.00000";"4040.68000";"3995.59000";"4025.07000";"0"
